Disease,Diet,Description
Hepatitis B,"Hepatitis (B): Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.",Hepatitis B can be acute or chronic. Acute hepatitis B is a short-term illness that occurs within the first 6 months after exposure to the virus. Chronic hepatitis B lasts more than six months and is lifelong
Hepatitis C,"Hepatitis (C): Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.","Hepatitis C is a liver infection caused by the hepatitis C virus. Hepatitis C can range from a mild illness lasting a few weeks to a serious, long-term illness. Hepatitis C is often described as “acute,” meaning a new infection, or “chronic,” meaning long-term infection."
Hepatitis D,"Hepatitis (D): Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.",Hepatitis D is a viral infection that causes liver inflammation and damage. Inflammation is swelling that occurs when tissues of the body become injured or infected. Inflammation can damage organs.
Hepatitis E,"Hepatitis (E): Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.","Hepatitis E is a liver disease caused by the hepatitis E virus (HEV). Although rare in developed countries, hepatitis E is widespread in the developing world. In the vast majority of people, HEV infection results in a self-limited, acute illness."
Hypertension ,"Hypertension: Diet should focus on reducing sodium intake and include potassium-rich foods like fruits and vegetables. Also, emphasize whole grains, lean proteins, and healthy fats.",Hypertension (high blood pressure) is when the pressure in your blood vessels is too high (140/90 mmHg or higher). It is common but can be serious if not treated. People with high blood pressure may not feel symptoms. The only way to know is to get your blood pressure checked.
Hyperthyroidism,Hyperthyroidism: Diet should focus on limiting iodine intake and avoiding stimulants like caffeine. Include calcium-rich foods and foods that support bone health.,"Hyperthyroidism happens when the thyroid gland makes too much thyroid hormone. This condition also is called overactive thyroid. Hyperthyroidism speeds up the body's metabolism. That can cause many symptoms, such as weight loss, hand tremors, and rapid or irregular heartbeat."
Hypoglycemia,"A diet for hypoglycemia can include, Small, frequent meals, A variety of foods, Lean protein, Complex carbohydrates, Foods high in soluble fiber, Healthy fats, A small amount of fast-acting carbohydrates","Hypoglycemia means that your blood sugar (glucose) level is lower than the standard range. It's often related to diabetes treatment, but other drugs and a variety of conditions can cause low blood sugar"
Hypothyroidism,"Hypothyroidism: Diet should include iodine-rich foods like seafood, as well as selenium-rich foods like Brazil nuts. Limit goitrogenic foods like cabbage and soy."," Hypothyroidism, also called underactive thyroid, is when the thyroid gland doesn't make enough thyroid hormones to meet your body's needs. The thyroid is a small, butterfly-shaped gland in the front of your neck."
Impetigo,"Impetigo: Diet should focus on supporting the immune system with nutrient-dense foods like fruits, vegetables, and lean proteins.","Impetigo starts as a red, itchy sore. As it heals, a crusty, yellow or “honey-colored” scab forms over the sore. In general, impetigo is a mild infection that can occur anywhere on the body. It most often affects exposed skin, such as. Around the nose and mouth."
Jaundice,"Jaundice: Diet should focus on liver health and include easily digestible foods like fruits, vegetables, and lean proteins. Avoid fatty and fried foods.","A condition in which the skin and the whites of the eyes become yellow, urine darkens, and the color of stool becomes lighter than normal. Jaundice occurs when the liver is not working properly or when a bile duct is blocked."
Malaria,"Fresh fruits and vegetables work wonders for malaria patients. According to studies, vitamin A and vitamin C rich fruits and vegetables like beetroot, carrot, papaya, sweet lime, grapes, berries, lemon, orange help to detoxify and boost the immunity of the patient suffering from malaria.","Malaria is a life-threatening disease caused by parasites transmitted by the bites of infected female Anopheles mosquitoes. It is mostly found in tropical countries, especially in Africa South of the Sahara and in parts of Oceania such as Papua New Guinea"
Migraine,"Migraine: Diet should avoid known trigger foods like aged cheeses, chocolate, and processed meats. Stay hydrated and eat regular meals.","A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound."
Osteoarthristis,"Osteoarthritis: Diet should focus on anti-inflammatory foods like fruits, vegetables, omega-3 fatty acids, and lean proteins. Maintain a healthy weight.","Osteoarthritis is a degenerative joint disease, in which the tissues in the joint break down over time. It is the most common type of arthritis and is more common in older people. People with osteoarthritis usually have joint pain and, after rest or inactivity, stiffness for a short period of time."
Paralysis (brain hemorrhage),"Plenty of vegetables of different types and colours, legumes and beans. Fruit. Grain (cereal) foods, mostly wholegrain and high fibre varieties such as breads, cereals, rice, pasta, noodles, polenta, couscous, oats, quinoa and barley. Lean meats and poultry, fish, eggs, tofu, nuts, seeds, legumes and beans.","The symptoms of a brain bleed, or intracranial hemorrhage, differ depending on which part of the brain is affected. Common brain bleeds symptoms include: Weakness, numbness, tingling, and facial paralysis. Often these symptoms affect the arm and leg on one side of the body"
Peptic ulcer diseae,"aim to have a diet high in fibre and rich in vegetables, fruits, and whole grains. Try for a minimum of seven servings of vegetables and fruits each day, and a minimum of five servings of whole grains","Peptic ulcer disease (PUD) is a condition that causes open sores to develop in the stomach or duodenum, the first part of the small intestine"
Pneumonia,"Pneumonia: Diet should include nutrient-dense foods to support recovery. Stay hydrated and eat small, frequent meals.","Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus (purulent material), causing cough with phlegm or pus, fever, chills, and difficulty breathing. A variety of organisms, including bacteria, viruses and fungi, can cause pneumonia."
Psoriasis,"Psoriasis: Diet should include anti-inflammatory foods like fruits, vegetables, and omega-3 fatty acids. Limit alcohol and processed foods.","Psoriasis is a skin disease that causes a rash with itchy, scaly patches, most commonly on the knees, elbows, trunk and scalp. Psoriasis is a common, long-term (chronic) disease with no cure."
Tuberculosis,"Tuberculosis: Diet should include nutrient-dense foods to boost the immune system. Include protein-rich foods and foods rich in vitamins A, C, and E.","Tuberculosis (TB) is a disease caused by germs that are spread from person to person through the air. TB usually affects the lungs, but it can also affect other parts of the body, such as the brain, the kidneys, or the spine."
Typhoid," high-calorie diet, food items such as bananas, potatoes etc. Up the consumption of dairy products such as milk and yogurt in your typhoid diet. Soups such as spinach soup, vegetable soup, carrot soup, chicken soup, and mushroom soup","Typhoid fever is a bacterial infection that can spread throughout the body, affecting many organs. Without prompt treatment, it can cause serious complications and can be fatal. It's caused by a bacterium called Salmonella typhi, which is related to the bacteria that cause salmonella food poisoning."
Urinary tract infection,Urinary tract infection: Diet should focus on staying hydrated and include foods that promote urinary health like cranberries and probiotics.,"UTIs are common infections that happen when bacteria, often from the skin or rectum, enter the urethra, and infect the urinary tract. The infections can affect several parts of the urinary tract, but the most common type is a bladder infection (cystitis). Kidney infection (pyelonephritis) is another type of UTI."
Varicose veins,"Dark leafy green, Vitamin C-rich foods, Vitamin E-rich foods,Potassium-rich foods,Foods high in omega-3","Varicose veins are bulging, enlarged veins. Any vein that is close to the skin's surface, called superficial, can become varicosed. Varicose veins most often affect the veins in the legs. That's because standing and walking increase the pressure in the veins of the lower body."
